step,A_vs_gt_clean,A_vs_gt_rt,B1_vs_gt_clean,B1_vs_gt_rt,A_vs_B1
0.000000000000000000e+00,9.306168183684349060e-03,8.692803792655467987e-03,1.524244993925094604e-01,1.550480276346206665e-01,1.540215760469436646e-01
1.000000000000000000e+00,1.120949909090995789e-02,1.087247859686613083e-02,1.443680524826049805e-01,1.472721844911575317e-01,1.474269926548004150e-01
2.000000000000000000e+00,1.223852112889289856e-02,1.170251332223415375e-02,1.349675804376602173e-01,1.373713761568069458e-01,1.377892643213272095e-01
3.000000000000000000e+00,1.074728462845087051e-02,1.002472639083862305e-02,1.260823756456375122e-01,1.275231093168258667e-01,1.267119795083999634e-01
4.000000000000000000e+00,9.301318787038326263e-03,8.398567326366901398e-03,1.168660372495651245e-01,1.181901991367340088e-01,1.177999675273895264e-01
5.000000000000000000e+00,1.027380488812923431e-02,9.433233179152011871e-03,1.078513860702514648e-01,1.094847023487091064e-01,1.076589226722717285e-01
6.000000000000000000e+00,9.429628960788249969e-03,8.666333742439746857e-03,9.773490577936172485e-02,9.941254556179046631e-02,9.950128942728042603e-02
7.000000000000000000e+00,9.197376668453216553e-03,8.616891689598560333e-03,8.864151686429977417e-02,8.968253433704376221e-02,8.735147863626480103e-02
8.000000000000000000e+00,9.783606044948101044e-03,9.331124834716320038e-03,8.160560578107833862e-02,8.247874677181243896e-02,8.163590729236602783e-02
9.000000000000000000e+00,9.590809233486652374e-03,9.109668433666229248e-03,7.614402472972869873e-02,7.684514671564102173e-02,7.733061909675598145e-02
1.000000000000000000e+01,8.435168303549289703e-03,7.691523525863885880e-03,7.051534205675125122e-02,7.078147679567337036e-02,7.144608348608016968e-02
1.100000000000000000e+01,9.369569830596446991e-03,8.551108650863170624e-03,6.545507907867431641e-02,6.532887369394302368e-02,6.515134125947952271e-02
1.200000000000000000e+01,1.031552627682685852e-02,9.383636526763439178e-03,6.422431021928787231e-02,6.400313228368759155e-02,6.475580483675003052e-02
1.300000000000000000e+01,7.953193970024585724e-03,7.440200075507164001e-03,6.494876742362976074e-02,6.495042890310287476e-02,6.551311910152435303e-02
1.400000000000000000e+01,9.815396741032600403e-03,8.592579513788223267e-03,6.650666892528533936e-02,6.603168696165084839e-02,6.638716906309127808e-02
1.500000000000000000e+01,1.062154117971658707e-02,9.567479602992534637e-03,7.013857364654541016e-02,7.008178532123565674e-02,7.090450078248977661e-02
1.600000000000000000e+01,1.154970843344926834e-02,1.018912997096776962e-02,7.585059851408004761e-02,7.597790658473968506e-02,7.790976017713546753e-02
1.700000000000000000e+01,1.134425867348909378e-02,1.005488540977239609e-02,7.965669035911560059e-02,7.954380661249160767e-02,7.984592765569686890e-02
1.800000000000000000e+01,1.213735714554786682e-02,1.114675682038068771e-02,8.361561596393585205e-02,8.340980857610702515e-02,8.505962044000625610e-02
1.900000000000000000e+01,1.074062474071979523e-02,9.696244262158870697e-03,8.781755715608596802e-02,8.788320422172546387e-02,8.827479183673858643e-02
2.000000000000000000e+01,9.302902035415172577e-03,8.349124342203140259e-03,9.211787581443786621e-02,9.227748215198516846e-02,9.163062274456024170e-02
2.100000000000000000e+01,1.120973844081163406e-02,9.849595837295055389e-03,9.471159428358078003e-02,9.487307816743850708e-02,9.561197459697723389e-02
2.200000000000000000e+01,1.192608941346406937e-02,1.057304628193378448e-02,1.000880673527717590e-01,1.000504717230796814e-01,1.013597324490547180e-01
2.300000000000000000e+01,1.188420876860618591e-02,1.086627785116434097e-02,1.042088866233825684e-01,1.041429489850997925e-01,1.051321327686309814e-01
2.400000000000000000e+01,1.005981210619211197e-02,8.937000297009944916e-03,1.079654246568679810e-01,1.077609062194824219e-01,1.087701395153999329e-01
2.500000000000000000e+01,1.454225368797779083e-02,1.368813216686248779e-02,1.083507835865020752e-01,1.083638966083526611e-01,1.092229783535003662e-01
2.600000000000000000e+01,1.177462749183177948e-02,1.081339176744222641e-02,1.089431196451187134e-01,1.090566217899322510e-01,1.103396713733673096e-01
2.700000000000000000e+01,1.164340134710073471e-02,1.083915494382381439e-02,1.086521148681640625e-01,1.090220957994461060e-01,1.102677285671234131e-01
2.800000000000000000e+01,1.253937277942895889e-02,1.183611061424016953e-02,1.096797063946723938e-01,1.102856844663619995e-01,1.123703122138977051e-01
2.900000000000000000e+01,1.148350816220045090e-02,1.064958609640598297e-02,1.107390895485877991e-01,1.114502400159835815e-01,1.130294278264045715e-01
3.000000000000000000e+01,1.282492000609636307e-02,1.189819630235433578e-02,1.117355972528457642e-01,1.128814145922660828e-01,1.127966120839118958e-01
3.100000000000000000e+01,1.307112723588943481e-02,1.127005741000175476e-02,1.118298918008804321e-01,1.131149083375930786e-01,1.141662523150444031e-01
