step,A_vs_gt_clean,A_vs_gt_rt,B1_vs_gt_clean,B1_vs_gt_rt,A_vs_B1
0.000000000000000000e+00,8.550815284252166748e-03,7.820949889719486237e-03,1.529456377029418945e-01,1.552680730819702148e-01,1.542462557554244995e-01
1.000000000000000000e+00,9.402178227901458740e-03,8.957209996879100800e-03,1.448486000299453735e-01,1.477842628955841064e-01,1.473642885684967041e-01
2.000000000000000000e+00,1.107349153608083725e-02,1.050516031682491302e-02,1.362804919481277466e-01,1.387204676866531372e-01,1.395806819200515747e-01
3.000000000000000000e+00,1.122491806745529175e-02,1.054693106561899185e-02,1.268730610609054565e-01,1.283274888992309570e-01,1.273385137319564819e-01
4.000000000000000000e+00,1.080603059381246567e-02,1.005656458437442780e-02,1.174514219164848328e-01,1.187659576535224915e-01,1.170284524559974670e-01
5.000000000000000000e+00,9.730543941259384155e-03,9.024607948958873749e-03,1.094735488295555115e-01,1.110969781875610352e-01,1.103767976164817810e-01
6.000000000000000000e+00,1.139464229345321655e-02,1.075383834540843964e-02,9.907700866460800171e-02,1.007785126566886902e-01,9.967455267906188965e-02
7.000000000000000000e+00,8.441774174571037292e-03,7.960845716297626495e-03,9.050168842077255249e-02,9.160852432250976562e-02,9.031200408935546875e-02
8.000000000000000000e+00,9.445021860301494598e-03,9.014452807605266571e-03,8.258848637342453003e-02,8.354947715997695923e-02,8.360837399959564209e-02
9.000000000000000000e+00,7.871949113905429840e-03,7.381700910627841949e-03,7.584113627672195435e-02,7.671225070953369141e-02,7.756740599870681763e-02
1.000000000000000000e+01,9.841453284025192261e-03,9.218079037964344025e-03,7.027319818735122681e-02,7.056038081645965576e-02,7.249718904495239258e-02
1.100000000000000000e+01,9.164634160697460175e-03,8.445905521512031555e-03,6.742319464683532715e-02,6.732659786939620972e-02,6.616114825010299683e-02
1.200000000000000000e+01,1.044089067727327347e-02,9.672038257122039795e-03,6.626296788454055786e-02,6.602735817432403564e-02,6.493525952100753784e-02
1.300000000000000000e+01,8.025602437555789948e-03,7.256624288856983185e-03,6.584215909242630005e-02,6.597743928432464600e-02,6.596070528030395508e-02
1.400000000000000000e+01,1.020576898008584976e-02,9.142199531197547913e-03,6.898861378431320190e-02,6.870774924755096436e-02,6.828565150499343872e-02
1.500000000000000000e+01,1.172030624002218246e-02,1.065996009856462479e-02,7.187190651893615723e-02,7.191845774650573730e-02,7.342002540826797485e-02
1.600000000000000000e+01,1.069910824298858643e-02,9.415216743946075439e-03,7.652172446250915527e-02,7.664239406585693359e-02,7.718243449926376343e-02
1.700000000000000000e+01,9.495988488197326660e-03,8.248019032180309296e-03,8.184228092432022095e-02,8.194294571876525879e-02,8.213565498590469360e-02
1.800000000000000000e+01,1.081346627324819565e-02,9.232607670128345490e-03,8.408973366022109985e-02,8.390868455171585083e-02,8.442088216543197632e-02
1.900000000000000000e+01,1.010711118578910828e-02,9.054262191057205200e-03,8.753918111324310303e-02,8.763816207647323608e-02,8.904683589935302734e-02
2.000000000000000000e+01,1.170222926884889603e-02,1.078852079808712006e-02,9.382573515176773071e-02,9.405772387981414795e-02,9.530556946992874146e-02
2.100000000000000000e+01,1.266114786267280579e-02,1.168692577630281448e-02,9.633592516183853149e-02,9.618055075407028198e-02,9.888873249292373657e-02
2.200000000000000000e+01,1.154848374426364899e-02,1.016560383141040802e-02,1.001377105712890625e-01,9.996929764747619629e-02,1.023754104971885681e-01
2.300000000000000000e+01,1.246067695319652557e-02,1.140611618757247925e-02,1.043001636862754822e-01,1.042275056242942810e-01,1.054973527789115906e-01
2.400000000000000000e+01,1.237868703901767731e-02,1.132233347743749619e-02,1.106143221259117126e-01,1.104412525892257690e-01,1.095091253519058228e-01
2.500000000000000000e+01,1.206000987440347672e-02,1.120224781334400177e-02,1.092419400811195374e-01,1.093555018305778503e-01,1.099644228816032410e-01
2.600000000000000000e+01,1.263873092830181122e-02,1.179392263293266296e-02,1.110190898180007935e-01,1.112073287367820740e-01,1.132460534572601318e-01
2.700000000000000000e+01,1.209481060504913330e-02,1.137798279523849487e-02,1.095859631896018982e-01,1.099913641810417175e-01,1.102415025234222412e-01
2.800000000000000000e+01,1.001908909529447556e-02,9.345720522105693817e-03,1.106115579605102539e-01,1.112453714013099670e-01,1.118590459227561951e-01
2.900000000000000000e+01,1.134368311613798141e-02,1.070347987115383148e-02,1.095570474863052368e-01,1.102660074830055237e-01,1.106148660182952881e-01
3.000000000000000000e+01,1.301037520170211792e-02,1.209997478872537613e-02,1.119275316596031189e-01,1.130786165595054626e-01,1.100693419575691223e-01
3.100000000000000000e+01,1.301184389740228653e-02,1.184985600411891937e-02,1.114480942487716675e-01,1.130046099424362183e-01,1.122548654675483704e-01
